"my_id","follower_id","status"
"1058","1036","1"
"352","320","1"
"904","559","1"
"352","104","1"
"904","976","1"
"139","1036","1"
"946","904","1"
"946","964","1"
"904","991","1"
"1007","991","1"
"622","487","1"
"904","946","1"
"568","1069","1"
"1027","3","1"
"1007","439","1"
"1062","3","1"
"1007","978","1"
"439","139","1"
"46","309","1"
"631","635","1"
"631","684","1"
"1037","220","1"
"1007","309","1"
"711","309","1"
"139","1047","1"
"747","894","1"
"139","1047","1"
"352","1047","1"
"1047","964","1"
"964","1047","1"
"352","1036","1"
"602","352","1"
"352","288","1"
"620","942","1"
"620","942","1"
"258","1047","1"
"258","352","1"
"911","881","1"
"258","288","1"
"1047","139","1"
"151","139","1"
"713","894","1"
"172","220","1"
"1103","288","1"
"192","288","1"
"1036","1047","1"
"946","344","1"
"1001","439","1"
"737","95","1"
"737","783","1"
"737","687","1"
"960","792","1"
"737","354","1"
"737","196","1"
"1047","1036","1"
"1036","352","1"
"1024","1047","1"
"1008","288","1"
"1036","1058","1"
"4","653","1"
"347","352","1"
"746","1118","1"
"653","4","1"
"545","858","1"
"1043","309","1"
"687","737","1"
"1096","717","1"
"1076","701","1"
"674","933","1"
"110","717","1"
"110","115","1"
"110","161","1"
"110","164","1"
"214","1047","1"
"970","1006","1"
"674","823","1"
"214","933","1"
"674","793","1"
"674","91","1"
"674","952","1"
"173","196","1"
"869","214","1"
"674","620","1"
"869","933","1"
"657","139","1"
"386","1047","1"
"413","288","1"
"869","1047","1"
"139","214","1"
"238","1033","1"
"869","139","1"
"238","93","1"
"475","856","1"
"869","1002","1"
"910","3","1"
"475","344","1"
"475","936","1"
"139","869","1"
"869","439","1"
"869","175","1"
"1104","142","1"
"933","1047","1"
"86","746","1"
"746","86","1"
"1006","970","1"
"1135","139","1"
"933","869","1"
"1135","214","1"
"933","214","1"
"933","674","1"
"890","46","1"
"869","1118","1"
"642","631","1"
"642","445","1"
"46","890","1"
"869","1135","1"
"1050","881","1"
"1139","1051","1"
"1144","288","1"
"1050","653","1"
"937","3","1"
"711","591","1"
"1137","86","1"
"1137","746","1"
"1137","189","1"
"1144","309","1"
"1144","46","1"
"1144","1875","1"
"1144","1875","1"
"1144","1043","1"
"1144","1875","1"
"708","886","1"
"708","760","1"
"1047","352","1"
"1143","591","1"
"554","591","1"
"701","681","1"
"1047","214","1"
"701","1076","1"
"407","746","1"
"1047","933","1"
"701","894","1"
"1047","869","1"
"1047","386","1"
"647","288","1"
"311","1050","1"
"1155","1097","1"
"1103","46","1"
"858","1033","1"
"46","1103","1"
"361","359","1"
"290","1148","1"
"361","209","1"
"1148","708","1"
"1155","1148","1"
"554","1875","1"
"86","1137","1"
"708","1047","1"
"554","1875","1"
"1155","591","1"
"708","964","1"
"806","1146","1"
"708","1148","1"
"554","1875","1"
"1050","261","1"
"858","268","1"
"952","674","1"
"1050","46","1"
"643","833","1"
"1158","760","1"
"62","591","1"
"1148","599","1"
"1036","599","1"
"1135","1148","1"
"1135","599","1"
"1059","170","1"
"1059","170","1"
"599","1148","1"
"599","1036","1"
"599","1135","1"
"1135","869","1"
"1159","952","1"
"1103","1047","1"
"1103","599","1"
"214","869","1"
"214","1135","1"
"214","139","1"
"1128","170","1"
"116","1875","1"
"891","170","1"
"116","1875","1"
"116","1875","1"
"116","1875","1"
"806","1162","1"
"643","1148","1"
"643","708","1"
"643","1135","1"
"258","327","1"
"39","642","1"
"258","1036","1"
"554","711","1"
"937","599","1"
"258","599","1"
"508","1047","1"
"116","1875","1"
"894","1112","1"
"755","439","1"
"173","1137","1"
"1047","708","1"
"1047","508","1"
"1162","1137","1"
"952","1159","1"
"1183","1112","1"
"382","1112","1"
"1047","599","1"
"1183","895","1"
"1183","597","1"
"1183","316","1"
"1183","737","1"
"382","445","1"
"1183","263","1"
"631","642","1"
"1112","445","1"
"115","873","1"
"115","514","1"
"566","445","1"
"445","1112","1"
"1024","327","1"
"1112","894","1"
"1112","1183","1"
"1112","382","1"
"1195","833","1"
"702","1179","1"
"115","1179","1"
"183","294","1"
"72","1179","1"
"183","475","1"
"863","1179","1"
"266","1179","1"
"783","737","1"
"170","1128","1"
"643","883","1"
"643","327","1"
"960","1047","1"
"960","327","1"
"1047","1179","1"
"566","1112","1"
"1179","1047","1"
"960","599","1"
"768","635","1"
"794","964","1"
"115","964","1"
"960","352","1"
"794","291","1"
"960","288","1"
"738","599","1"
"745","183","1"
"334","717","1"
"334","995","1"
"893","1041","1"
"702","822","1"
"1137","173","1"
"802","481","1"
"173","738","1"
"1137","1162","1"
"893","158","1"
"1178","1179","1"
"1204","183","1"
"679","1196","1"
"891","1179","1"
"1041","893","1"
"1162","806","1"
"893","1179","1"
"711","554","1"
"329","760","1"
"329","115","1"
"554","964","1"
"329","411","1"
"554","568","1"
"327","1047","1"
"738","173","1"
"139","1135","1"
"334","1047","1"
"711","738","1"
"679","738","1"
"287","113","1"
"711","1112","1"
"1178","1137","1"
"496","1179","1"
"1128","530","1"
"886","738","1"
"1047","334","1"
"914","327","1"
"679","327","1"
"139","914","1"
"327","1179","1"
"72","914","1"
"1194","158","1"
"679","1152","1"
"753","509","1"
"1041","1197","1"
"1194","1197","1"
"508","524","1"
"738","711","1"
"1194","290","1"
"1041","1235","1"
"738","886","1"
"1047","327","1"
"139","154","1"
"1206","635","1"
"886","893","1"
"167","290","1"
"508","524","1"
"1197","290","1"
"359","1047","1"
"892","702","1"
"1197","1235","1"
"167","1235","1"
"1047","359","1"
"413","1179","1"
"1197","1041","1"
"508","473","1"
"530","568","1"
"1179","327","1"
"623","768","1"
"1088","290","1"
"290","1227","1"
"802","1227","1"
"266","1225","1"
"1206","137","1"
"288","113","1"
"1041","1227","1"
"892","334","1"
"653","1050","1"
"530","1047","1"
"154","139","1"
"902","113","1"
"183","745","1"
"393","1235","1"
"711","702","1"
"1201","1222","1"
"413","359","1"
"1227","290","1"
"887","161","1"
"887","926","1"
"1227","802","1"
"1128","359","1"
"1227","1041","1"
"887","964","1"
"902","745","1"
"914","72","1"
"413","711","1"
"886","708","1"
"886","708","1"
"747","115","1"
"413","1229","1"
"1007","642","1"
"902","833","1"
"568","183","1"
"266","1242","1"
"1047","530","1"
"1041","1242","1"
"1041","899","1"
"1041","359","1"
"1162","1242","1"
"554","472","1"
"1264","1179","1"
"679","1126","1"
"781","1047","1"
"1162","899","1"
"352","602","1"
"61","327","1"
"413","720","1"
"1162","755","1"
"747","1179","1"
"1197","642","1"
"352","347","1"
"1269","1047","1"
"781","113","1"
"711","472","1"
"1269","352","1"
